MonthlyIncome,MonthlyExpenses,LoanAmount,HasFixedIncome,IsEmployed,HasCurrentLoan,HasDebtIssues,LoanApproval
50000,20000,150000,Ja,Ja,Nej,Nej,Ja
45000,15000,100000,Ja,Ja,Ja,Nej,Ja
30000,10000,50000,Nej,Ja,Nej,Nej,Nej
35000,15000,120000,Ja,Nej,Nej,Ja,Nej
60000,25000,180000,Ja,Ja,Nej,Nej,Ja
40000,20000,120000,Ja,Ja,Ja,Nej,Nej
70000,30000,200000,Ja,Ja,Nej,Nej,Ja
25000,12000,40000,Nej,Nej,Nej,Nej,Nej
55000,20000,100000,Ja,Ja,Nej,Nej,Ja
60000,30000,150000,Ja,Ja,Ja,Nej,Nej
38000,15000,80000,Ja,Nej,Nej,Nej,Nej
72000,35000,250000,Ja,Ja,Nej,Nej,Ja
45000,18000,120000,Ja,Ja,Nej,Nej,Ja
52000,25000,140000,Ja,Ja,Nej,Ja,Nej
47000,17000,100000,Ja,Ja,Nej,Nej,Ja
30000,15000,60000,Nej,Nej,Nej,Nej,Nej
62000,27000,180000,Ja,Ja,Nej,Nej,Ja
48000,22000,110000,Ja,Nej,Ja,Nej,Nej
54000,25000,130000,Ja,Ja,Nej,Nej,Ja
37000,18000,70000,Ja,Nej,Nej,Ja,Nej
80000,35000,300000,Ja,Ja,Nej,Nej,Ja
50000,20000,120000,Ja,Ja,Nej,Nej,Ja
40000,15000,90000,Nej,Ja,Nej,Nej,Nej
30000,13000,50000,Nej,Nej,Ja,Nej,Nej
60000,25000,160000,Ja,Ja,Nej,Nej,Ja
70000,30000,200000,Ja,Ja,Ja,Nej,Nej
50000,20000,100000,Ja,Ja,Nej,Ja,Nej
48000,22000,90000,Ja,Nej,Nej,Nej,Nej
45000,20000,80000,Ja,Ja,Nej,Nej,Ja
72000,35000,220000,Ja,Ja,Nej,Nej,Ja
35000,15000,60000,Nej,Nej,Nej,Ja,Nej
54000,25000,150000,Ja,Ja,Nej,Nej,Ja
38000,17000,75000,Ja,Nej,Nej,Nej,Nej
65000,30000,200000,Ja,Ja,Ja,Nej,Nej
40000,20000,100000,Ja,Ja,Nej,Nej,Ja
37000,15000,80000,Nej,Nej,Nej,Nej,Nej
46000,22000,110000,Ja,Ja,Nej,Nej,Ja
55000,25000,140000,Ja,Ja,Nej,Ja,Nej
30000,15000,70000,Nej,Nej,Nej,Nej,Nej
52000,24000,120000,Ja,Ja,Nej,Nej,Ja
48000,23000,90000,Ja,Nej,Nej,Nej,Nej
45000,20000,80000,Ja,Ja,Nej,Nej,Ja
80000,40000,250000,Ja,Ja,Nej,Nej,Ja
40000,18000,70000,Nej,Ja,Nej,Nej,Nej
70000,35000,180000,Ja,Ja,Nej,Nej,Ja
60000,30000,150000,Ja,Ja,Nej,Ja,Nej
30000,12000,50000,Nej,Nej,Nej,Nej,Nej
48000,21000,90000,Ja,Ja,Nej,Nej,Ja
45000,20000,110000,Ja,Nej,Nej,Nej,Nej
